ClienteID,Nombre,Apellido,Email,Telefono
1,Ana,García,ana@email.com,555-1234
2,Javier,Martínez,javier@email.com,555-5678
3,Maria,Rodríguez,maria@email.com,555-9012
4,Carlos,Pérez,carlos@email.com,555-3456
5,Laura,Fernández,laura@email.com,555-7890
6,Daniel,López,daniel@email.com,555-2345
7,Isabel,Ruiz,isabel@email.com,555-6789
8,Jorge,Sánchez,jorge@email.com,555-0123
9,Sofía,Díaz,sofia@email.com,555-4567
10,Alejandro,Gómez,alejandro@email.com,555-8901
11,Marta,Hernández,marta@email.com,555-2345
12,Ricardo,Martín,ricardo@email.com,555-6789
13,Patricia,Pérez,patricia@email.com,555-0123
14,Eduardo,Rodríguez,eduardo@email.com,555-4567
15,Lucía,Ortega,lucia@email.com,555-8901
16,Sergio,Fernández,sergio@email.com,555-2345
17,Beatriz,Gutiérrez,beatriz@email.com,555-6789
18,Adrián,Mendoza,adrian@email.com,555-0123
19,Carmen,Gallego,carmen@email.com,555-4567
20,Manuel,Navarro,manuel@email.com,555-8901
21,Elena,Romero,elena@email.com,555-2345
22,Raul,Vega,raul@email.com,555-6789
23,Julia,Morales,julia@email.com,555-0123
24,Miguel,Santos,miguel@email.com,555-4567
25,Valeria,Delgado,valeria@email.com,555-8901
26,Fernando,Ruiz,fernando@email.com,555-2345
27,Natalia,Cruz,natalia@email.com,555-6789
28,Antonio,Herrera,antonio@email.com,555-0123
29,Carolina,Flores,carolina@email.com,555-4567
30,Pablo,Iglesias,pablo@email.com,555-8901
31,Lorena,Vargas,lorena@email.com,555-2345
32,Alberto,Serrano,alberto@email.com,555-6789
33,Monica,Rivera,monica@email.com,555-0123
34,Julio,Fuentes,julio@email.com,555-4567
35,Isabella,García,isabella@email.com,555-8901

